,game_id,competition_code,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,stadium,attendance,referee,url,competition_id,name,club_id_x,pretty_name_x,club_id_y,pretty_name_y
14,3450971,ES1,2020,7. Matchday,2020-10-24,131,418,1,3,5.0,1.0,Camp Nou,,Juan Martínez Munuera,https://www.transfermarkt.co.uk/fc-barcelona_real-madrid/index/spielbericht/3450971,ES1,laliga,131,Fc Barcelona,418,Real Madrid
28,3451193,ES1,2020,26. Matchday,2021-03-07,13,418,1,1,1.0,3.0,Wanda Metropolitano,,Alejandro Hernández,https://www.transfermarkt.co.uk/atletico-de-madrid_real-madrid/index/spielbericht/3451193,ES1,laliga,13,Atletico Madrid,418,Real Madrid
42,3451464,ES1,2020,37. Matchday,2021-05-16,621,418,0,1,9.0,2.0,San Mamés,,Matéu Lahoz,https://www.transfermarkt.co.uk/athletic-bilbao_real-madrid/index/spielbericht/3451464,ES1,laliga,621,Athletic Bilbao,418,Real Madrid
53,3451028,ES1,2020,12. Matchday,2020-12-05,368,418,0,1,6.0,3.0,Ramón Sánchez Pizjuan,,José María Sánchez Martínez,https://www.transfermarkt.co.uk/sevilla-fc_real-madrid/index/spielbericht/3451028,ES1,laliga,368,Fc Sevilla,418,Real Madrid
65,3450999,ES1,2020,9. Matchday,2020-11-08,1049,418,4,1,12.0,3.0,Mestalla,,Jesús Gil Manzano,https://www.transfermarkt.co.uk/valencia-cf_real-madrid/index/spielbericht/3450999,ES1,laliga,1049,Fc Valencia,418,Real Madrid
75,3431921,ES1,2020,2. Matchday,2020-09-20,681,418,0,0,13.0,5.0,Reale Arena,,Juan Martínez Munuera,https://www.transfermarkt.co.uk/real-sociedad_real-madrid/index/spielbericht/3431921,ES1,laliga,681,Real Sociedad San Sebastian,418,Real Madrid
94,3451406,ES1,2020,31. Matchday,2021-04-21,2687,418,0,3,13.0,2.0,Nuevo Mirandilla,,Matéu Lahoz,https://www.transfermarkt.co.uk/cadiz-cf_real-madrid/index/spielbericht/3451406,ES1,laliga,2687,Fc Cadiz,418,Real Madrid
99,3451132,ES1,2020,22. Matchday,2021-02-06,5358,418,1,2,20.0,2.0,El Alcoraz,,Estrada Fernández,https://www.transfermarkt.co.uk/sd-huesca_real-madrid/index/spielbericht/3451132,ES1,laliga,5358,Sd Huesca,418,Real Madrid
105,3451100,ES1,2020,20. Matchday,2021-01-23,1108,418,1,4,18.0,2.0,Mendizorrotza,,Alejandro Hernández,https://www.transfermarkt.co.uk/deportivo-alaves_real-madrid/index/spielbericht/3451100,ES1,laliga,1108,Deportivo Alaves,418,Real Madrid
119,3451009,ES1,2020,10. Matchday,2020-11-21,1050,418,1,1,4.0,3.0,La Cerámica,,Alejandro Hernández,https://www.transfermarkt.co.uk/villarreal-cf_real-madrid/index/spielbericht/3451009,ES1,laliga,1050,Fc Villarreal,418,Real Madrid
130,3451164,ES1,2020,24. Matchday,2021-02-20,366,418,0,1,19.0,2.0,Estadio Nuevo José Zorrilla,,Guillermo Cuadra Fernández,https://www.transfermarkt.co.uk/real-valladolid-cf_real-madrid/index/spielbericht/3451164,ES1,laliga,366,Real Valladolid,418,Real Madrid
137,3451045,ES1,2020,14. Matchday,2020-12-20,1533,418,1,3,14.0,2.0,Ipurua,,José Luis Munuera Montero,https://www.transfermarkt.co.uk/sd-eibar_real-madrid/index/spielbericht/3451045,ES1,laliga,1533,Sd Eibar,418,Real Madrid
150,3451375,ES1,2020,28. Matchday,2021-03-20,940,418,1,3,11.0,3.0,Balaídos,,Mario Melero López,https://www.transfermarkt.co.uk/celta-de-vigo_real-madrid/index/spielbericht/3451375,ES1,laliga,940,Celta Vigo,418,Real Madrid
172,3441592,ES1,2020,5. Matchday,2020-10-04,3368,418,0,2,14.0,2.0,La Cerámica,,José Luis Munuera Montero,https://www.transfermarkt.co.uk/levante-ud_real-madrid/index/spielbericht/3441592,ES1,laliga,3368,Ud Levante,418,Real Madrid
181,3451428,ES1,2020,33. Matchday,2021-04-18,3709,418,0,0,15.0,2.0,Coliseum Alfonso Pérez,,José María Sánchez Martínez,https://www.transfermarkt.co.uk/getafe-cf_real-madrid/index/spielbericht/3451428,ES1,laliga,3709,Fc Getafe,418,Real Madrid
189,3451457,ES1,2020,36. Matchday,2021-05-13,16795,418,1,4,10.0,2.0,Nuevo Los Cármenes,,Jesús Gil Manzano,https://www.transfermarkt.co.uk/granada-cf_real-madrid/index/spielbericht/3451457,ES1,laliga,16795,Fc Granada,418,Real Madrid
196,3451087,ES1,2020,18. Matchday,2021-01-09,331,418,0,0,19.0,2.0,El Sadar,,César Soto Grado,https://www.transfermarkt.co.uk/ca-osasuna_real-madrid/index/spielbericht/3451087,ES1,laliga,331,Ca Osasuna,418,Real Madrid
205,3431927,ES1,2020,3. Matchday,2020-09-26,150,418,2,3,5.0,3.0,Benito Villamarín,,De Burgos Bengoetxea,https://www.transfermarkt.co.uk/real-betis-balompie_real-madrid/index/spielbericht/3431927,ES1,laliga,150,Real Betis Sevilla,418,Real Madrid
231,3451065,ES1,2020,16. Matchday,2020-12-30,1531,418,1,1,15.0,2.0,Manuel Martínez Valero,,Jorge Figueroa Vázquez,https://www.transfermarkt.co.uk/elche-cf_real-madrid/index/spielbericht/3451065,ES1,laliga,1531,Fc Elche,418,Real Madrid
294,3451036,ES1,2020,13. Matchday,2020-12-12,418,13,2,0,3.0,1.0,Estadio Alfredo Di Stéfano,,Matéu Lahoz,https://www.transfermarkt.co.uk/real-madrid_atletico-de-madrid/index/spielbericht/3451036,ES1,laliga,418,Real Madrid,13,Atletico Madrid
550,3451096,ES1,2020,19. Matchday,2020-12-15,418,621,3,1,2.0,13.0,Estadio Alfredo Di Stéfano,,Jesús Gil Manzano,https://www.transfermarkt.co.uk/real-madrid_athletic-bilbao/index/spielbericht/3451096,ES1,laliga,418,Real Madrid,621,Athletic Bilbao
780,3451449,ES1,2020,35. Matchday,2021-05-09,418,368,2,2,2.0,4.0,Estadio Alfredo Di Stéfano,,Juan Martínez Munuera,https://www.transfermarkt.co.uk/real-madrid_sevilla-fc/index/spielbericht/3451449,ES1,laliga,418,Real Madrid,368,Fc Sevilla
1022,3451016,ES1,2020,11. Matchday,2020-11-28,418,1108,1,2,3.0,11.0,Estadio Alfredo Di Stéfano,,Adrián Cordero Vega,https://www.transfermarkt.co.uk/real-madrid_deportivo-alaves/index/spielbericht/3451016,ES1,laliga,418,Real Madrid,1108,Deportivo Alaves
